name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
K2-136 b,194,0.937 Earths,10.855,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6068/k2-136-b/,Terrestrial,2017,0.937 Earths,0.99 x Earth,Unknown,8 days,0.1,K2-133,e,k2-133 e,Transit,0,4,26.5841,0.0018,-0.0017,0,0.1346,0.0011,-0.0011,0,,,,,89.164,0.012,-0.01,0,,,,,,0.154,0.012,-0.012,0,,,,,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.2,0.2,-0.2,0,75.33,0.2,-0.2,0,14.288,0.01,0,V (Johnson),13.325,,0,3655,80,-80,0,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,5/23/2019,K2
K2-136 c,194,8.8 Earths,10.855,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6069/k2-136-c/,Neptune-like,2017,8.8 Earths,0.26 x Jupiter,0.11728 AU,17.3 days,0.13,K2-136,b,k2-136 b,Transit,0,3,7.975292,0.000833,-0.00077,0,,,,,0.1,0.19,-0.07,0,89.3,0.5,-0.7,0,,,,,,0.088,0.005,-0.004,0,,,,,0,0,1,1,04h29m38.99s,67.41246,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,59.35,0.19,-0.19,0,10.9,0.1,0,Kepler-band,10.855,,0,4499,50,-50,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,11/9/2017,K2
K2-136 d,194,2.7 Earths,10.855,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6070/k2-136-d/,Super Earth,2017,2.7 Earths,1.45 x Earth,Unknown,25.6 days,0.14,K2-136,c,k2-136 c,Transit,0,3,17.307137,0.000252,-0.000284,0,,,,,0.13,0.27,-0.11,0,89.6,0.3,-0.3,0,,,,,,0.26,0.01,-0.009,0,,,,,0,0,1,2,04h29m38.99s,67.41246,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,59.35,0.19,-0.19,0,10.9,0.1,0,Kepler-band,10.855,,0,4499,50,-50,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,11/9/2017,K2
K2-137 b,323,0.5 Jupiters,15.498,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6071/k2-137-b/,Terrestrial,2017,0.5 Jupiters,0.89 x Earth,0.0058 AU,0.2 days,0,K2-136,d,k2-136 d,Transit,0,3,25.575065,0.002418,-0.002357,0,,,,,0.14,0.13,-0.09,0,89.4,0.4,-0.2,0,,,,,,0.129,0.01,-0.007,0,,,,,0,0,1,1,04h29m38.99s,67.41246,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,59.35,0.19,-0.19,0,10.9,0.1,0,Kepler-band,10.855,,0,4499,50,-50,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,11/9/2017,K2
K2-138 b,597,3.09 Earths,12.21,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6148/k2-138-b/,Super Earth,2017,3.09 Earths,1.57 x Earth,0.0338 AU,2.4 days,< 0.403,K2-137,b,k2-137 b,Transit,0,1,0.179715,0.000001,-0.000001,0,0.0058,0.0006,-0.0006,0,0,,,0,89.6,3.3,-3.3,0,0.5,,,1,Mass,0.079,0.008,-0.008,0,,,,,0,0,1,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,99.15,0.61,-0.61,0,99.15,0.61,-0.61,0,15.498,0.054,0,V (Johnson),14.435,,0,3492,70,-70,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,11/16/2017,K2
K2-138 c,597,6.9 Earths,12.21,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6149/k2-138-c/,Neptune-like,2017,6.9 Earths,0.225 x Jupiter,0.04454 AU,3.6 days,< 0.296,K2-138,b,k2-138 b,Transit,0,5,2.35322,0.00036,-0.00036,0,0.0338,0.00024,-0.00024,0,0.403,,,1,86.9,2.2,-4.6,0,,,,,,0.14,0.025,-0.015,0,,,,,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183,17,-17,0,203.75,2.02,-2.02,0,12.21,0.03,0,V (Johnson),12.025,,0,5378,60,-60,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,1/11/2018,K2
K2-138 d,597,7.56 Earths,12.21,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6150/k2-138-d/,Neptune-like,2017,7.56 Earths,0.237 x Jupiter,0.05883 AU,5.4 days,< 0.348,K2-138,c,k2-138 c,Transit,0,5,3.55987,0.00023,-0.00022,0,0.04454,0.00032,-0.00032,0,0.296,,,1,87.5,1.8,-3.3,0,,,,,,0.225,0.03,-0.014,0,,,,,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183,17,-17,0,203.75,2.02,-2.02,0,12.21,0.03,0,V (Johnson),12.025,,0,5378,60,-60,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,1/11/2018,K2
K2-138 e,597,10.8 Earths,12.21,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6151/k2-138-e/,Neptune-like,2017,10.8 Earths,0.294 x Jupiter,0.07807 AU,8.3 days,< 0.315,K2-138,d,k2-138 d,Transit,0,5,5.40478,0.00048,-0.00046,0,0.05883,0.00042,-0.00042,0,0.348,,,1,87.9,1.5,-2.8,0,,,,,,0.237,0.035,-0.016,0,,,,,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183,17,-17,0,203.75,2.02,-2.02,0,12.21,0.03,0,V (Johnson),12.025,,0,5378,60,-60,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,1/11/2018,K2
K2-138 f,597,8.3 Earths,12.21,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6152/k2-138-f/,Neptune-like,2017,8.3 Earths,0.251 x Jupiter,0.1043 AU,12.8 days,< 0.364,K2-138,e,k2-138 e,Transit,0,5,8.26144,0.00045,-0.00044,0,0.07807,0.00056,-0.00056,0,0.315,,,1,88.7,0.93,-1.66,0,,,,,,0.294,0.031,-0.016,0,,,,,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183,17,-17,0,203.75,2.02,-2.02,0,12.21,0.03,0,V (Johnson),12.025,,0,5378,60,-60,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,1/11/2018,K2
K2-139 b,504,0.387 Jupiters,11.653,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6132/k2-139-b/,Gas Giant,2017,0.387 Jupiters,0.813 x Jupiter,0.1796 AU,28.4 days,0.12,K2-138,f,k2-138 f,Transit,0,5,12.75759,0.00092,-0.00092,0,0.1043,0.00074,-0.00075,0,0.364,,,1,89.03,0.7,-1.22,0,,,,,,0.251,0.032,-0.017,0,,,,,0,0,1,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183,17,-17,0,203.75,2.02,-2.02,0,12.21,0.03,0,V (Johnson),12.025,,0,5378,60,-60,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,1/11/2018,K2
K2-13 b,1128,4.23 Earths,12.901,2015,https://exoplanets.nasa.gov/exoplanet-catalog/468/k2-13-b/,Super Earth,2015,4.23 Earths,1.89 x Earth,0.2114 AU,39.9 days,0,K2-139,b,k2-139 b,Transit,0,1,28.380619,0.000551,-0.000528,0,0.1796,0.0015,-0.0015,0,,,,,,,,,,,,,,0.813,0.015,-0.015,0,,,,,0,0,1,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,154.6,0.94,-0.94,0,154.54,0.93,-0.93,0,11.653,0.137,0,V (Johnson),11.463,,0,5370,68,-68,0,0.96,0.02,-0.02,0,0.88,0.01,-0.01,0,10/26/2018,K2
K2-140 b,1114,1.019 Jupiters,12.624,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6142/k2-140-b/,Gas Giant,2017,1.019 Jupiters,1.093 x Jupiter,0.0687 AU,6.6 days,0.12,K2-14,b,k2-14 b,Transit,0,1,8.36802,0.00019,-0.00019,0,0.0627,0.0006,-0.0006,0,,,,,,,,,,,,,,0.429,0.037,-0.037,0,,,,,0,0,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,367.72,8.2,-8.2,0,367.72,8.2,-8.2,0,16.31,0.07,0,V (Johnson),15.535,,0,3789,17,-16,0,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,7/16/2015,K2
K2-141 b,202,5.08 Earths,11.389,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6154/k2-141-b/,Super Earth,2018,5.08 Earths,1.51 x Earth,0.00716 AU,0.3 days,0,K2-140,b,k2-140 b,Transit,0,1,6.56918,0.00004,-0.00004,0,0.0687,0.0005,-0.0005,0,,,,,,,,,,,,,,1.093,0.015,-0.015,0,,,,,0,0,1,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.60764,341.6,5.5,-5.1,0,351.21,8.19,-8.19,0,12.624,0.03,0,V (Johnson),12.481,,0,5705,50,-48,0,1,0.02,-0.02,0,0.99,0.01,-0.01,0,7/12/2018,K2
K2-141 c,202,7.4 Earths,11.389,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6155/k2-141-c/,Neptune-like,2018,7.4 Earths,0.624 x Jupiter,Unknown,7.7 days,0,K2-141,b,k2-141 b,Transit,0,2,0.2803244,0.0000015,-0.0000015,0,,,,,0,,,0,86.3,2.7,-3.6,0,0.01598,0.00129,-0.00129,0,Mass,0.135,0.004,-0.004,0,8.2,1.1,-1.1,0,0,0,1,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),10.722,,0,4599,79,-79,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,1/18/2018,K2
K2-146 b,259,5.77 Earths,16.248,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6167/k2-146-b/,Super Earth,2018,5.77 Earths,2.05 x Earth,0.0259 AU,2.6 days,0.13,K2-141,c,k2-141 c,Transit,0,2,7.7485,0.00022,-0.00022,0,,,,,0,,,0,87.2,1.6,-2,0,0.02328,,,1,Mass,0.624,0.41,-0.25,0,,,,,0,0,1,1,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),10.722,,0,4599,79,-79,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,1/18/2018,K2
K2-146 c,259,7.49 Earths,16.248,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7449/k2-146-c/,Super Earth,2019,7.49 Earths,2.19 x Earth,Unknown,4 days,0.08,K2-146,b,k2-146 b,Transit,0,2,2.6446,0.00006,-0.00006,0,,,,,0.129,0.019,-0.019,0,88.93,0.11,-0.11,0,0.01816,0.00024,-0.00024,0,Mass,0.183,0.005,-0.005,0,3.69,0.21,-0.21,0,1,0,1,0,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,79.31,0.45,-0.45,0,79.48,0.47,-0.47,0,16.248,0.072,0,V (Johnson),14.983,,0,3385,70,-70,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,8/15/2019,K2
K2-147 b,287,2.48 Earths,14.019,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6168/k2-147-b/,Super Earth,2018,2.48 Earths,1.38 x Earth,0.0159 AU,1 days,0,K2-146,c,k2-146 c,Transit,0,2,4.00498,0.00011,-0.00011,0,,,,,0.075,0.016,-0.016,0,87.54,0.04,-0.04,0,0.02358,0.00031,-0.00031,0,Mass,0.195,0.006,-0.006,0,3.92,0.27,-0.27,0,1,0,1,0,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,79.31,0.45,-0.45,0,79.48,0.47,-0.47,0,16.248,0.072,0,V (Johnson),14.983,,0,3385,70,-70,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,8/15/2019,K2
K2-148 b,395,2.33 Earths,13.507,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6158/k2-148-b/,Super Earth,2018,2.33 Earths,1.33 x Earth,0.0454 AU,4.4 days,0,K2-147,b,k2-147 b,Transit,0,1,0.961917,0.000026,-0.000026,0,0.0159,0.0005,-0.0005,0,,,,,,,,,,,,,,0.123,0.015,-0.013,0,,,,,0,0,1,0,19h35m19.97s,293.833191,-28d29m52.2s,-28.497833,88,13,-13,0,90.79,0.28,-0.28,0,14.019,0.03,0,V (Johnson),13.191,,0,3672,70,-70,0,0.58,0.06,-0.06,0,0.55,0.06,-0.06,0,2/1/2018,K2
K2-148 c,395,3.64 Earths,13.507,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6159/k2-148-c/,Super Earth,2018,3.64 Earths,1.73 x Earth,0.0616 AU,6.9 days,0,K2-148,b,k2-148 b,Transit,0,3,4.38395,0.0008,-0.0008,0,0.0454,0.0014,-0.0014,0,,,,,,,,,,,,,,0.119,0.017,-0.016,0,,,,,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121,19,-19,0,124.9,0.62,-0.62,0,13.507,0.07,0,V (Johnson),13.06,,0,4079,70,-70,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2/1/2018,K2
K2-148 d,395,3.33 Earths,13.507,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6160/k2-148-d/,Super Earth,2018,3.33 Earths,1.64 x Earth,0.0774 AU,9.8 days,0,K2-148,c,k2-148 c,Transit,0,3,6.9226,0.0007,-0.0007,0,0.0616,0.0019,-0.0019,0,,,,,,,,,,,,,,0.154,0.021,-0.019,0,,,,,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121,19,-19,0,124.9,0.62,-0.62,0,13.507,0.07,0,V (Johnson),13.06,,0,4079,70,-70,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2/1/2018,K2
K2-149 b,385,3.33 Earths,14.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6161/k2-149-b/,Super Earth,2018,3.33 Earths,1.64 x Earth,0.083 AU,11.3 days,0,K2-148,d,k2-148 d,Transit,0,3,9.7579,0.001,-0.001,0,0.0774,0.0024,-0.0024,0,,,,,,,,,,,,,,0.146,0.021,-0.019,0,,,,,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121,19,-19,0,124.9,0.62,-0.62,0,13.507,0.07,0,V (Johnson),13.06,,0,4079,70,-70,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2/1/2018,K2
K2-14 b,1200,20.7 Earths,16.31,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4843/k2-14-b/,Neptune-like,2015,20.7 Earths,0.429 x Jupiter,0.0627 AU,8.4 days,0.14,K2-149,b,k2-149 b,Transit,0,1,11.332,0.0013,-0.0013,0,0.083,0.0027,-0.0027,0,,,,,,,,,,,,,,0.146,0.018,-0.016,0,,,,,0,0,1,0,00h39m17.26s,9.821899,+07d16m37.6s,7.2771,118,18,-18,0,124.12,0.54,-0.54,0,14.484,0.16,0,V (Johnson),13.779,,0,3745,70,-70,0,0.59,0.06,-0.06,0,0.57,0.06,-0.06,0,2/1/2018,K2
K2-150 b,359,4.66 Earths,15.829,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6162/k2-150-b/,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0727 AU,10.6 days,0,K2-15,b,k2-15 b,Transit,0,1,11.8104,0.00204,-0.00204,0,0.091,0.0018,-0.0018,0,,,,,,,,,,,,,,0.221,0.027,-0.027,0,,,,,0,0,1,0,11h52m26.59s,178.110794,+04d15m17.1s,4.254747,501.03,9.26,-9.26,0,501.03,9.26,-9.26,0,14.663,0.05,0,V (Johnson),14.424,,0,5131,69,-65,0,0.72,0.06,-0.03,0,0.68,0.06,-0.03,0,7/16/2015,K2
K2-151 b,227,2.83 Earths,14.14,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6163/k2-151-b/,Super Earth,2018,2.83 Earths,1.49 x Earth,0.0373 AU,3.8 days,0,K2-150,b,k2-150 b,Transit,0,1,10.59357,0.00084,-0.00084,0,0.0727,0.0027,-0.0027,0,,,,,,,,,,,,,,0.178,0.024,-0.019,0,,,,,0,0,1,0,01h13m22.60s,18.344175,+08d59m15.1s,8.987539,110,15,-15,0,102.78,0.79,-0.79,0,15.829,0.061,0,V (Johnson),14.815,,0,3499,70,-70,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,2/1/2018,K2
K2-152 b,355,5.86 Earths,13.728,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6164/k2-152-b/,Neptune-like,2018,5.86 Earths,0.204 x Jupiter,0.1716 AU,32.6 days,0,K2-151,b,k2-151 b,Transit,0,1,3.835476,0.000266,-0.000256,0,0.0373,0.0002,-0.0002,0,,,,,,,,,,,,,,0.133,0.007,-0.007,0,,,,,0,0,1,0,01h17m13.09s,19.304525,+09d30m05.0s,9.501381,69.61,0.15,-0.15,0,69.62,0.15,-0.15,0,14.14,0.04,0,V (Johnson),13.312,,0,3695,32,-32,0,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,10/26/2018,K2
K2-153 b,468,4.66 Earths,14.979,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6165/k2-153-b/,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0614 AU,7.5 days,0,K2-152,b,k2-152 b,Transit,0,1,32.6479,0.01141,-0.01483,0,0.1716,0.0012,-0.0012,0,,,,,,,,,,,,,,0.204,0.022,-0.021,0,,,,,0,0,1,0,12h06m31.87s,181.632797,-05d49m38.7s,-5.82741,108.7,0.4,-0.4,0,108.79,0.41,-0.41,0,13.728,0.02,0,V (Johnson),13.038,,0,4044,34,-35,0,0.63,0.01,-0.01,0,0.61,0.01,-0.01,0,7/12/2018,K2
K2-154 b,423,4.62 Earths,14.033,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6169/k2-154-b/,Super Earth,2018,4.62 Earths,1.99 x Earth,0.0405 AU,3.7 days,0,K2-153,b,k2-153 b,Transit,0,1,7.51574,0.00205,-0.0024,0,0.0614,0.0004,-0.0004,0,,,,,,,,,,,,,,0.178,0.019,-0.016,0,,,,,0,0,1,0,12h15m14.21s,183.809189,+02d01m15.4s,2.020953,143.6,0.9,-0.9,0,143.71,0.91,-0.91,0,14.979,0.03,0,V (Johnson),14.271,,0,3845,37,-37,0,0.55,0.01,-0.01,0,0.53,0.01,-0.01,0,7/12/2018,K2
K2-154 c,423,4.94 Earths,14.033,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6170/k2-154-c/,Super Earth,2018,4.94 Earths,2.07 x Earth,0.0677 AU,8 days,0,K2-154,b,k2-154 b,Transit,0,2,3.67626,0.0003,-0.00031,0,0.0405,0.0003,-0.0003,0,,,,,,,,,,,,,,0.178,0.019,-0.01,0,,,,,0,0,1,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,129.8,0.4,-0.4,0,129.84,0.45,-0.45,0,14.033,0.036,0,V (Johnson),13.317,,0,4097,40,-45,0,0.65,0.02,-0.01,0,0.63,0.01,-0.01,0,7/12/2018,K2
K2-155 b,267,3.89 Earths,12.806,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6171/k2-155-b/,Super Earth,2018,3.89 Earths,1.8 x Earth,0.0562 AU,6.3 days,0,K2-154,c,k2-154 c,Transit,0,2,7.95486,0.00084,-0.00085,0,0.0677,0.0005,-0.0005,0,,,,,,,,,,,,,,0.185,0.016,-0.012,0,,,,,0,0,1,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,129.8,0.4,-0.4,0,129.84,0.45,-0.45,0,14.033,0.036,0,V (Johnson),13.317,,0,4097,40,-45,0,0.65,0.02,-0.01,0,0.63,0.01,-0.01,0,7/12/2018,K2
K2-155 c,267,7.27 Earths,12.806,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6172/k2-155-c/,Neptune-like,2018,7.27 Earths,0.232 x Jupiter,0.0946 AU,13.9 days,0,K2-155,b,k2-155 b,Transit,0,3,6.342,0.002,-0.002,0,0.0562,0.0013,-0.0014,0,,,,,88.3,1.2,-1.9,0,,,,,,0.161,0.018,-0.009,0,,,,,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.3536,82,29,-12,0,72.95,0.28,-0.28,0,12.806,0.05,0,V (Johnson),12.253,,0,4258,150,-150,0,0.65,0.06,-0.03,0,0.58,0.06,-0.03,0,4/26/2018,K2
K2-155 d,267,4.27 Earths,12.806,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6173/k2-155-d/,Super Earth,2018,4.27 Earths,1.9 x Earth,0.1937 AU,40.7 days,0,K2-155,c,k2-155 c,Transit,0,3,13.85,0.006,-0.006,0,0.0946,0.0031,-0.003,0,,,,,88.96,0.71,-0.88,0,,,,,,0.232,0.062,-0.018,0,,,,,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.3536,82,29,-12,0,72.95,0.28,-0.28,0,12.806,0.05,0,V (Johnson),12.253,,0,4258,150,-150,0,0.65,0.06,-0.03,0,0.58,0.06,-0.03,0,4/26/2018,K2
K2-156 b,491,1.6 Earths,13.424,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6250/k2-156-b/,Super Earth,2018,1.6 Earths,1.15 x Earth,0.0149 AU,0.8 days,0,K2-155,d,k2-155 d,Transit,0,3,40.718,0.005,-0.005,0,0.1937,0.0064,-0.0059,0,,,,,89.61,0.27,-0.48,0,,,,,,0.17,0.062,-0.018,0,,,,,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.3536,82,29,-12,0,72.95,0.28,-0.28,0,12.806,0.05,0,V (Johnson),12.253,,0,4258,150,-150,0,0.65,0.06,-0.03,0,0.58,0.06,-0.03,0,4/26/2018,K2
K2-157 b,981,1.18 Earths,12.823,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6251/k2-157-b/,Super Earth,2018,1.18 Earths,1.055 x Earth,Unknown,0.4 days,0,K2-156,b,k2-156 b,Transit,0,1,0.81314,0.00007,-0.00008,0,0.0149,0.0001,-0.0001,0,,,,,,,,,,,,,,0.103,0.009,-0.006,0,,,,,0,0,1,0,12h10m48.04s,182.70018,-06d17m39.1s,-6.294205,150.4,1,-1,0,150.85,1.08,-1.08,0,13.424,0.01,0,V (Johnson),12.948,,0,4597,50,-50,0,0.66,0.02,-0.01,0,0.66,0.01,-0.01,0,7/12/2018,K2
K2-158 b,647,7.46 Earths,11.774,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6252/k2-158-b/,Neptune-like,2018,7.46 Earths,0.236 x Jupiter,0.0887 AU,10.1 days,0,K2-157,b,k2-157 b,Transit,0,1,0.365257,0.000029,-0.000029,0,,,,,,,,,76.711,9.693,-18.255,0,,,,,,0.094,0.013,-0.009,0,,,,,0,0,1,0,12h15m00.32s,183.751343,-05d46m55.2s,-5.781991,300.88,4.56,-4.56,0,300.88,4.56,-4.56,0,12.823,0.02,0,V (Johnson),12.642,,0,5456,50,-50,0,0.94,0.02,-0.03,0,0.88,0.05,-0.03,0,2/15/2018,K2
K2-158 c,647,2.18 Earths,11.774,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6325/k2-158-c/,Super Earth,2018,2.18 Earths,1.28 x Earth,0.0622 AU,5.9 days,0,K2-158,b,k2-158 b,Transit,0,2,10.06049,0.00134,-0.00148,0,0.0887,0.0008,-0.0008,0,,,,,,,,,,,,,,0.236,0.014,-0.009,0,,,,,0,0,1,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,198.2,2.1,-2.1,0,198.4,2.05,-2.05,0,11.774,0.174,0,V (Johnson),11.613,,0,5503,51,-48,0,0.92,0.03,-0.02,0,0.95,0.02,-0.02,0,7/12/2018,K2
K2-159 b,561,5.73 Earths,11.994,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6253/k2-159-b/,Neptune-like,2018,5.73 Earths,0.202 x Jupiter,0.1013 AU,12.4 days,0,K2-158,c,k2-158 c,Transit,0,2,5.90279,0.00191,-0.00233,0,0.0622,0.0006,-0.0006,0,,,,,,,,,,,,,,0.114,0.012,-0.009,0,,,,,0,0,1,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,198.2,2.1,-2.1,0,198.4,2.05,-2.05,0,11.774,0.174,0,V (Johnson),11.613,,0,5503,51,-48,0,0.92,0.03,-0.02,0,0.95,0.02,-0.02,0,7/12/2018,K2
K2-15 b,1634,6.71 Earths,14.663,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4844/k2-15-b/,Neptune-like,2015,6.71 Earths,0.221 x Jupiter,0.091 AU,11.8 days,0,K2-159,b,k2-159 b,Transit,0,1,12.42205,0.0018,-0.00182,0,0.1013,0.0008,-0.0009,0,,,,,,,,,,,,,,0.202,0.015,-0.01,0,,,,,0,0,1,0,12h02m09.81s,180.540894,-03d34m50.6s,-3.580723,171.9,1.4,-1.3,0,171.83,1.42,-1.42,0,11.994,0.206,0,V (Johnson),11.64,,0,5425,44,-44,0,0.9,0.02,-0.03,0,0.83,0.01,-0.01,0,7/12/2018,K2
K2-160 b,1038,10.2 Earths,12.649,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6254/k2-160-b/,Neptune-like,2018,10.2 Earths,0.284 x Jupiter,Unknown,3.7 days,0,K2-16,b,k2-16 b,Transit,0,3,7.6188,0.00087,-0.00087,0,0.0667,0.0011,-0.0011,0,,,,,87.97,1.47,-1.86,0,,,,,,0.18,0.021,-0.021,0,,,,,0,0,1,0,11h40m23.34s,175.09726,+04d33m26.4s,4.55734,338.19,4.23,-4.23,0,338.19,4.23,-4.23,0,14.67,0.04,0,V (Johnson),14.323,,0,,,,,0.67,0.03,-0.04,0,,,,,7/7/2016,K2
K2-161 b,3070,31.1 Earths,12.631,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6255/k2-161-b/,Neptune-like,2018,31.1 Earths,0.546 x Jupiter,Unknown,9.3 days,0,K2-16,c,k2-16 c,Transit,0,3,19.07863,0.00327,-0.00327,0,0.1229,0.0021,-0.0021,0,,,,,87.83,1.68,-1.68,0,,,,,,0.227,0.1,-0.042,0,,,,,0,0,1,0,11h40m23.34s,175.09726,+04d33m26.4s,4.55734,338.19,4.23,-4.23,0,338.19,4.23,-4.23,0,14.67,0.04,0,V (Johnson),14.323,,0,,,,,0.67,0.03,-0.04,0,,,,,7/7/2016,K2
